Year,Rank,Company,Ticker,MarketCap_BillionsUSD,ticker,sector,displayName
2012,10,THE PROCTER & GAMBLE COMPANY,PG,185.45,PG,Consumer Staples,THE PROCTER & GAMBLE COMPANY
2012,11,WELLS FARGO & COMPANY,WFC,180,WFC,Financials,WELLS FARGO & COMPANY
2012,12,PFIZER INC.,PFE,172.87,PFE,Health Care,PFIZER INC.
2012,13,JPMORGAN CHASE & CO.,JPM,167.26,JPM,Financials,JPMORGAN CHASE & CO.
2012,14,THE COCA-COLA COMPANY,KO,162,KO,Consumer Staples,THE COCA-COLA COMPANY
2012,15,ORACLE CORPORATION,ORCL,157.75,ORCL,Information Technology,ORACLE CORP
2012,16,AT&T INC.,T,141.99,T,Communication Services,AT&T INC.
2012,17,Philip Morris International Inc.,PM,138.31,PM,Consumer Staples,Philip Morris International Inc.
2012,18,GENERAL ELECTRIC COMPANY,GE,136.21,GE,Industrials,GENERAL ELECTRIC COMPANY
2012,19,BANK OF AMERICA CORPORATION,BAC,125.14,BAC,Financials,BANK OF AMERICA CORP
2012,20,VERIZON COMMUNICATIONS INC.,VZ,123.69,VZ,Communication Services,VERIZON COMMS INC.
2013,1,APPLE INC.,AAPL,500.74,AAPL,Information Technology,APPLE INC.
2013,2,EXXON MOBIL CORPORATION,XOM,438.7,XOM,Energy,EXXON MOBIL CORP
2013,3,ALPHABET INC.,GOOGL,376.01,GOOGL,Communication Services,ALPHABET INC.
2013,4,MICROSOFT CORPORATION,MSFT,310.5,MSFT,Information Technology,MICROSOFT CORP
2013,5,BERKSHIRE HATHAWAY INC.,BRK.A,292.36,BRK.B,Financials,BERKSHIRE HATHAWAY INC.
2013,6,JOHNSON & JOHNSON,JNJ,258.34,JNJ,Health Care,JOHNSON & JOHNSON
2013,7,WALMART INC.,WMT,254.62,WMT,Consumer Staples,WALMART INC.
2013,8,CHEVRON CORPORATION,CVX,239.03,CVX,Energy,CHEVRON CORP
2013,9,WELLS FARGO & COMPANY,WFC,238.68,WFC,Financials,WELLS FARGO & COMPANY
2013,10,THE PROCTER & GAMBLE COMPANY,PG,220.74,PG,Consumer Staples,THE PROCTER & GAMBLE COMPANY
2013,11,JPMORGAN CHASE & CO.,JPM,219.66,JPM,Financials,JPMORGAN CHASE & CO.
2013,12,INTERNATIONAL BUSINESS MACHINES CORPORATION,IBM,188.9,IBM,Information Technology,INTERNATIONAL BUSINESS MACHINES CORP
2013,13,PFIZER INC.,PFE,185.68,PFE,Health Care,PFIZER INC.
2013,14,"AMAZON.COM, INC.",AMZN,183.04,AMZN,Consumer Discretionary,"AMAZON.COM, INC."
2013,15,THE COCA-COLA COMPANY,KO,181.85,KO,Consumer Staples,THE COCA-COLA COMPANY
2013,16,GENERAL ELECTRIC COMPANY,GE,175.87,GE,Industrials,GENERAL ELECTRIC COMPANY
2013,17,ORACLE CORPORATION,ORCL,172.07,ORCL,Information Technology,ORACLE CORP
2013,18,BANK OF AMERICA CORPORATION,BAC,164.91,BAC,Financials,BANK OF AMERICA CORP
2013,19,CITIGROUP INC.,C,157.85,C,Financials,CITIGROUP INC.
