Year,Rank,Company,Ticker,MarketCap_BillionsUSD,ticker,sector,displayName
2023,5,NVIDIA CORPORATION,NVDA,1223,NVDA,Information Technology,NVIDIA CORP
2023,6,"Meta Platforms, Inc.",META,909.63,META,Communication Services,"Meta Platforms, Inc."
2023,7,"TESLA, INC.",TSLA,789.9,TSLA,Consumer Discretionary,"TESLA, INC."
2023,8,BERKSHIRE HATHAWAY INC.,BRK.A,772.53,BRK.B,Financials,BERKSHIRE HATHAWAY INC.
2023,9,ELI LILLY AND COMPANY,LLY,553.37,LLY,Health Care,ELI LILLY AND COMPANY
2023,10,VISA INC.,V,535.07,V,Financials,VISA INC.
2023,11,BROADCOM INC.,AVGO,522.56,AVGO,Information Technology,BROADCOM INC.
2023,12,JPMORGAN CHASE & CO.,JPM,491.76,JPM,Financials,JPMORGAN CHASE & CO.
2023,13,UNITEDHEALTH GROUP INCORPORATED,UNH,486.95,UNH,Health Care,United Health Group Inc
2023,14,"Wal-Mart de México, S.A.B. de C.V.",WMMVY,424.43,WMT,Consumer Staples,"Wal-Mart de México, S.A.B. de C.V."
2023,15,MASTERCARD INCORPORATED.,MA,400.13,MA,Financials,MASTERCARD INC.
2023,16,EXXON MOBIL CORPORATION,XOM,399.6,XOM,Energy,EXXON MOBIL CORP
2023,17,JOHNSON & JOHNSON,JNJ,377.32,JNJ,Health Care,JOHNSON & JOHNSON
2023,18,THE PROCTER & GAMBLE COMPANY,PG,345.38,PG,Consumer Staples,THE PROCTER & GAMBLE COMPANY
2023,19,"THE HOME DEPOT, INC.",HD,344.91,HD,Consumer Discretionary,"THE HOME DEPOT, INC."
2023,20,COSTCO WHOLESALE CORPORATION,COST,292.9,COST,Consumer Staples,COSTCO WHOLESALE CORP
2024,1,APPLE INC.,AAPL,3785,AAPL,Information Technology,APPLE INC.
2024,2,NVIDIA CORPORATION,NVDA,3289,NVDA,Information Technology,NVIDIA CORP
2024,3,MICROSOFT CORPORATION,MSFT,3134,MSFT,Information Technology,MICROSOFT CORP
2024,4,ALPHABET INC.,GOOG,2331,GOOG,Communication Services,ALPHABET INC.
2024,5,"AMAZON.COM, INC.",AMZN,2307,AMZN,Consumer Discretionary,"AMAZON.COM, INC."
2024,6,"Meta Platforms, Inc.",META,1478,META,Communication Services,"Meta Platforms, Inc."
2024,7,"TESLA, INC.",TSLA,1296,TSLA,Consumer Discretionary,"TESLA, INC."
2024,8,BROADCOM INC.,AVGO,1087,AVGO,Information Technology,BROADCOM INC.
